level,no_imbalance,0.0,0.1,0.25,0.5,1.0
0,0.28,0.23,0.22,0.17,0.09,0.04
1,0.18,0.16,0.13,0.09,0.06,0.02
2,0.07,0.09,0.05,0.03,0.01,0.01
3,0.03,0.04,0.02,0.01,0.0,0.0
