level,no_imbalance,0.0,0.1,0.25,0.5,1.0
0,0.85,0.84,0.86,0.86,0.84,0.82
1,0.67,0.65,0.66,0.66,0.63,0.62
2,0.44,0.47,0.44,0.41,0.39,0.39
3,0.26,0.29,0.27,0.24,0.22,0.22
