level,no_imbalance,0.0,0.1,0.25,0.5,1.0
0,0.5,0.43,0.42,0.38,0.33,0.19
1,0.31,0.31,0.29,0.25,0.2,0.11
2,0.17,0.19,0.16,0.11,0.07,0.05
3,0.08,0.11,0.08,0.04,0.03,0.02
